10.2.34.24 - - [03/Jun/2025 18:41:00] "GET / HTTP/1.1" 200 -
10.2.74.140 - - [03/Jun/2025 18:41:47] "GET / HTTP/1.1" 200 -
10.2.74.140 - - [03/Jun/2025 18:41:47] "GET /styles.css HTTP/1.1" 200 -
10.2.74.140 - - [03/Jun/2025 18:41:48] "GET /script.js HTTP/1.1" 200 -
10.2.74.140 - - [03/Jun/2025 18:41:49] code 404, message File not found
10.2.74.140 - - [03/Jun/2025 18:41:49] "GET /favicon.ico HTTP/1.1" 404 -
10.2.74.140 - - [03/Jun/2025 18:41:49] "GET / HTTP/1.1" 200 -
10.2.74.140 - - [03/Jun/2025 18:41:50] "GET / HTTP/1.1" 200 -
10.2.74.140 - - [03/Jun/2025 18:41:50] "GET / HTTP/1.1" 200 -
10.2.69.17 - - [03/Jun/2025 18:41:50] "GET /styles.css HTTP/1.1" 200 -
10.2.74.140 - - [03/Jun/2025 18:41:50] "GET /script.js HTTP/1.1" 200 -
10.2.74.140 - - [03/Jun/2025 18:41:50] "GET /styles.css HTTP/1.1" 200 -
10.2.69.17 - - [03/Jun/2025 18:42:12] "GET / HTTP/1.1" 200 -
